jobss,,,,,,,
Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Visual Designer,1 - 3 ," Motion Graphics, Infographics, Illustrator, animations, infographics, Corel draw, Photoshop, CorelDRAW, Visual Designer",Creative,Bengaluru,"Design , Creative , User Experience","IT-Software, Software Services",Visualiser
 Web Designer,3 - 8 ," Illustrator, Web designing, Photoshop, CSS, Web technologies, XML, Intranet, Business Executive",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Graphic/Web Designer
 ACCOUNTS EXECUTIVES,3 - 8 ," Tally, Retail, Accounts Executive, Retail Executive",Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Industrial Products, Heavy Machinery",Accounts Executive/Accountant
 Finance & Accounting Associates,2 - 5 ," Financial reporting, Due diligence, Data analysis, Accounting, International finance, Banking",Accounts,Noida,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager
 DEALER - RETAIL BROKING,1 - 5 ," NSE, Lead generation, Compliance, Relationship, Equity, Client acquisition, Research, Revenue generation, Monitoring, HNI client handling",Institutional Sales,Kolkata,"Sales , Retail , Business Development","Accounting, Finance",Sales Executive/Officer
 SENIOR SOFTWARE DEVELOPER (MVC .NET),5 - 7 ,"MySQL, Javascript, UML, server, css, Technical writing, html5, bootstrap, microsoft, Technical support, sql, cloud, ui, web, design, asp.net, mvc, api, architecture, level, Visual Studio, quality, MS SQL, infrastructure, .net, agile, angularjs, aws",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Client Relationship Partner,2 - 7 ," MIS reporting, Trade, Operational risk, Banking, Relationship, Client relationship, Saving",Retail/Personal Banking,Bengaluru,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Sales Officer
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",2 - 7 ,"sales strategy, sales management, B2B Sales, corporate sales, institutional sales",Institutional Sales,"Mumbai,Pune","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Dot Net Developer,2 - 7 ,"soa, sql, relationship management, server, software, jquery, service oriented architectures, quality systems, software implementation, computer science, sql server 2008, design",Programming & Design,"Ahmedabad,Ahmedabad","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Lead Business Systems Analyst,7 - 8 , Analyst,,Gurgaon,Other,"Banking, Financial Services, Broking",Other
" Sr. Manager- Art in Mumbai ,, Opportunity @ Client side",7 - 12 , Art Director,Senior Management,Mumbai,"Design , Creative , User Experience","Internet, Ecommerce",Creative Director
 Hiring for Domestic/ International Processes.contact the HR Asap,0 - 3 ," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sr . Manager,7 - 10 ," Automobile, Warehouse, Problem management, Manager Operations",,Ahmedabad,Top Management,"Recruitment, Staffing",Head/VP/GM-Operations
 Manager Learning & Development,10 - 15 ,,Senior Management,Bengaluru,"HR , Recruitment , Administration , IR","Semiconductors, Electronics",Head/VP/GM-Training & Development
 Urgent Requirement for CCE Telesales for Night Shift.,1 - 6 ," Outbound, Telesales, Night shift, English, process, Technical, Inbound calls, Service, Printers, Business Executive",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Vancancy for Inbound Tech Sales Executive,0 - 3 ," Outbound, Service, Technical support, process, Inbound calls, Domestic BPO, Bonus, Business Executive, Comp",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Infrastructure SSO Architect- Looking For Early Joiners,10 - 20 ," single sign - on, single sign on, IT Infrastructure, SSO",System Design/Implementation/ERP/CRM,"Gurgaon,Australia","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Sr. Architect / Project Position: Sr. Architect / Project,10 - 15 ," layout, coordinating, material selection, ms, mep, photoshop, corel draw, co, monitoring, plumbing",Architectural Services,"Mumbai,Thane","Architecture , Interior Design","Real Estate, Property",Architect
Nosql (couchdb/redis/bigtable/dynamodb),4 - 6 ,"coding,database design,test cases,analytical,nosql,cassandra",Programming & Design, Bengaluru,"IT Software - DBA , Datawarehousing",IT-Software / Software Services,Software Developer
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,3 - 4 ," accent, auditing, soft skills, training needs, customer service, process compliance",Training,Bengaluru (Vasanth nagar) ,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Voice & Accent Trainer
"Walk- in , Hdfc Life , We are Hiring Freshers:5th till 20th Aug@ Delhi",0 - 2 ," Sales, Fresher, Marketing",Retail Sales,"Delhi NCR,Agra,Aligarh,Bareilly,Faridabad,Ghaziabad,Meerut,Moradabad,Muzaffarpur","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
 AIT Global India Private Limited is Looking For JAVA Developer.,2 - 5 ," Java EE, Hibernate, Core Java, Software Development, Spring Mvc, Multithreading, OOD, JDBC, Spring Boot, JSF",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
"Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",2 - 4 ," Virtualization, Cloud computing, Server architecture, Windows Troubleshooting, Customer satisfaction, Manager Technology, Deployment, Management",Programming & Design,Gurgaon,IT Software - System Programming,"Real Estate, Property",Technical Architect
 Relationship Manager - Bangalore,2 - 4 ," business development, sales, sales marketing, marketing executive, sales executive, sales officer, sales manager, area sales manager, territory sales manager, territory manager, area manager, regional manager, regional sales manager, regional business manager",Retail Sales,Bengaluru,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,3 - 8 ," Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables",Corporate Sales,"Bengaluru,Hyderabad,Mumbai","Sales , Retail , Business Development","Electricals, Switchgears",Sales/Business Development Manager
 Business Development Manager,3 - 5 ," marketing executive, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",Retail Sales,"Bengaluru,Mumbai,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Senior Manager-fundraising,12 - 18 ," fundraising, finance",Operations/Processes/Finance/Legal,Bengaluru,"Financial Services , Banking , Investments , Insurance","Medical, Healthcare, Hospitals",Finance/Budgeting Manager
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,1 - 5 ," worldspan, travel sales consultants, galileo, amadeus, gds",Voice,"Delhi NCR,Gurgaon","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 UI Developer (Frontend Developer),3 - 8 ," Front end, Email, PDF, MIN, UI, phone, Strategic HR, Doc, Consultancy, Recruitment",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Construction, Engineering, Cement, Metals",Software Developer
 Netsuite Technical Consultant,3 - 5 ," CVS, ERP, Rest, middle east, Technical, Customization, E-commerce, CRM, Open, WHO",System Design/Implementation/ERP/CRM,Mumbai,"IT Software - ERP , CRM","IT-Software, Software Services",Outside Technical Consultant
"Java Full Stack – Technical Lead, Senior Engineer",6 - 11 ,"Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework",Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 ADM - External Affairs &amp; CSR - Bangalore,8 - 13 ," senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications",CSR & Sustainability,Bengaluru,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),3 - 5 ," Asp.Net MVC, entity framework, API",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Home loan,1 - 4 ," Loans, Direct Sales Associate, Policies, Bfsi, Finance, Sanction, WHO",Retail/Personal Banking,Kolkata,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Sales Officer
" Sr. Resident, General & Laparoscopic Surgery",2 - 6 ," Monitoring, Senior Resident, RAM, DNB, Dmc",Medical Professional,Delhi,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon
 Angular Developer - Fulcrum Digital,4 - 6 ," Angularjs, CSS, Responsive Web Design, Javascript, Bootstrap, HTML, JSON, JQuery, Web Development, Grunt",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
,,"networking,Network,Lead,Network,Lead,Network,Network,Lead,Network,networking,Lead,Leading,Network,Lead,Network,Lead,Network,Leading,Lead,Network,Network,Lead,Network,Lead,lead,Lead,Network,Network,Lead,Network,Network,Network,Lead,Networking,Lead,Lead,Network,Lead,Networking,Lead,Lead,Network,Network,Lead,Network,Networking,Lead,Lead,Lead,Lead,Network,Network,Lead",,,,,
 Devops Engineer - Tools & Automation,5 - 8 ," python, open source, database, Automation, java, linux, perl, Monitoring, nosql",Programming & Design,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,0 - 3 ," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 QA Functional Testing,3 - 6 ," QA, Functional testing",Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Sales Engineer,2 - 7 , Sales Engineering,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager
Software Engineer - Unity Developer,3 - 8 ,"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android",Programming & Design,Bengaluru,IT Software - Mobile,Telecom / ISP,Software Developer
Associate Level 1 - Fund Accounting,1 - 5 ," NAV calculation, Fund accounting, Automation, Corporate actions, Accounting, Process improvement, Analytical, Reconciliation, Standard operating procedures, Subject Matter Expert",Accounts,Chennai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Associate Principal Analyst - Network Security Research,3 - 7 ," Networking, Secondary research, Recruitment, Analyst, Network security, Research, IPS, Advisory, Firewall",System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst
 Training Specialist,4 - 8 ," Team Management, Training Need Analysis, sales training, Retail Sales, MS Office, Product Training, Training, Team Building, Skill Development, Retail Marketing, trainer, Regional Management, Competency Mapping, Training Delivery",,Gurgaon,Other,"Telcom, ISP",Other
 Urgent Opening For Field Recruiter ,1 - 6 ," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",HR/ Recruitment / IR,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 JAVA Developer,4 - 7 ," Computer science, Continuous improvement",Programming & Design,Kolkata,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 Urgent Openings For Pharma Freshers,0 - 3 ," pharmaceutical, medical, Pharma, medical billing, healthcare",Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Medical Representative
 Front End Developer - Wordpress/html/css/javascript,3 - 5 ," CSS, Wordpress, MySQL, Javascript, PHP, HTML, JQuery, SEO, Ajax, Hosting",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Mechanical Maintenance – Btech / Diploma,0 - 2 ,"mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance","Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to pro consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers", Hyderabad,Other,FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to pro consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers"
 PHP Developer,2 - 6 ," javascript, html, ajax, jquery, php mysql, smarty, api, analytical, third party, software development life cycle",Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
Sr.consultant-power Distribution,4 - 7 ,"Renewable energy,Power distribution,Power sector,Banking,Electricals",Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical)
" Chinese, Spanish Language Expert (proofcheck Medical Content),",2 - 7 ," spanish language expert, chinese, spanish, medical",Journalist/Writer,"Delhi NCR,Bengaluru","Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader
 Hiring for Tech Sales_Inbound UK/ US Voice Process,1 - 5 ," Sales Associate, support, Voice process, Issue, Senior, Technical, Inbound calls, Bonus, US shift, Software",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 SUPPORT Engineers (FEMALE CANDIDATES),1 - 5 ," MCSE, Database, Support Engineer",Back Office/Web/Transaction Processing,Hyderabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
MS SQL Developer : 0 - 2 Years (only MALE Candidates),1 - 3 ," SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Machine Learning Engineer ,, Gurgaon/chandigarh Location",3 - 8 ," GIT, Linux, Machine Learning, Python",Programming & Design,"Delhi NCR,Chandigarh","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Nurses,2 - 5 ," GNM, Business Executive",Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse
 Marketing Executive,2 - 7 ," institutions, relationships, marketing executive, customer, customers, implementation, company, site, product",Marketing,"Noida,Noida/Greater Noida","Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive
HR Recruiter (volume Hiring),2 - 5 ,"Recruitment,Volume Hiring,HR,BPO Hiring,Sourcing,Interviewing,Onboarding,Staffing,Orientation,Human Resource Management",HR/ Recruitment / IR, Gurgaon,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive
 Java Full Stack Developer,4 - 7 ," Java, CSS, Rest, Spring Mvc, Javascript, HTML, JPA, Spring Boot, JQuery, Web Services",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 GM Finance- Export Import Company,10 - 17 ," financial analysis, financial planning, taxation, VP Finance",Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit
 Content Writer,1 - 3 ," Publishing, SEO, Content management, Social media, Wordpress, Management systems, Research, Brand awareness, Web technologies, Journalism",Content Development,Bengaluru,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer
 Job Opening for Sm/avp_credit Audit_mumbai,7 - 10 ," Auditing, Audit Planning, Risk Assessment, Banking, Credit Risk, Credit Policy",Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller
 iOS Game Developer,3 - 8 ," c++, development, gaming, C, software, HTML, ios, opengl, iphone, design, MySQL, JavaScript",Programming & Design,"Faridabad,Gurgaon,Mumbai","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hiring: Executive-business Developer(seller Acquisition) On Contract,1 - 4 ," business development, e - commerce, sales executive, sales associate, sales officer, sales, field sales, mba fresher, fresher, new product development, channel sales",Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
Java/j2ee Application Developer,3 - 6 ," rest, java, sql, oop, angularjs, ui development, oracle",Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer
" Accepting Application for Intership for Java, PHP, Web Design, Android",0 - 1 ," Javascript, PHP, HTML, Visualization, jQuery, web, Programming, Commerce, Web designing, Application, Android",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Automation-Expert-Senior-Automation-Expert,3 - 5 ," Process automation, Commodity Markets, Artificial Intelligence, Market intelligence, Machine learning, Corporate, Relationship, Operations, Analytics, Robotics",Programming & Design,"Gurgaon,haryana",IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead
 Product Manager- Marketing(consumer Durables),5 - 10 ," IT Sales, Marketing Campaigns, Social Media, Btl, Marketing Management, Digital Marketing, Dealer Sales, Channel Partners, Communication Skills, Process Flow",Institutional Sales,Mumbai,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 Embedded Android Engineer,10 - 12 ," Android, Troubleshooting, Middleware, Firmware, SOC, Linux kernel, Bluetooth, Computer science, Test scripts, Test strategy",Programming & Design,Noida,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer
 Inbound International BPO Voice Process-US Shift,1 - 4 ," Outbound, Antivirus, Technical support, Voice process, Technical Support Executive, US shift, Inbound voice process, Customer Service Executive, Comp, International BPO",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Jr. Support Executives,1 - 6 ,,Other,Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher
 Sales Executive,0 - 1 ," Sales Executive, Cold calling, market research, customer profiling, sales executive, marketing executive, distributors, Business Development, sales strategy",Retail Sales,"Coimbatore,Raipur,Visakhapatnam,Pune","Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer
 Recruitment Officer ,0 - 1 ," Administration, HR, Recruitment, Recruitment Executive, IR",HR/ Recruitment / IR,Bengaluru,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Senior Principal Software Engineer,8 - 10 ," Web development, Analytics, Healthcare, Software design, Monitoring, JIRA, Computer science, Backend, Inside sales, Cloud",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect
 Senior Branch Sales & Development Head - Agency - General Insurance,5 - 9 ," Team Management, Advisory Services, General Insurance, Sales Initiatives, Financial Products, Distributor Sales, Branch Sales, Sales Development, Motor Insurance, Marketing",General Insurance,"Delhi NCR,Mumbai,Pune,Ahmedabad,Gurgaon,Nagpur,Gujarat,Maharashtra,Nashik","Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,0 - 5 ," clinical pharmacy, mr, sales officer, territory executive, business development, sales executive",Retail Sales,"Chennai,Bengaluru","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer
 Urgent job Position For SAP MDG Functional Analyst- All Over India,6 - 11 ,,System Design/Implementation/ERP/CRM,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,7 - 12 ," sap, procurement, scm, material, sheetmetal, sheet metal, purchase, VD, vendor development, sourcing, BOP",Purchase/Material Management,Gurgaon,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager
 Java with AngularJS and Spring,3 - 6 ," Angularjs, CSS, Core Java, DOM, Computer Science, Javascript, HTML, Spring, Ajax",Programming & Design,Greater Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Admission,2 - 7 ," data analysis, Admissions, placements, Help Desk, access controls, Asset Management",Other,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,0 - 3 ," academic research, accounting, taxation, ifrs, us gaap, international taxation, cost accounting, company secretary, auditing, company law, corporate law, icwa, cma",,"Delhi NCR,Delhi,Greater Noida,Gurgaon,Noida",Other,"Education, Teaching, Training",Other
 Sales Head for It Consulting Company in Gurgaon,4 - 8 ," marketing, bdm, sales, business development, it sales, ncr, hardware sales",Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 Adeeba Group is Currently hiring for US Inbound Tech Process.,2 - 7 ," Outbound, Night shift, Service, English, process, Technical, Technical support, Inbound calls, Voice process, Group",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Mechanical Engineer Require For Shut Down,5 - 10 ," RT, PT, MPI, NDT Inspection, NDT Level, Diploma, Quality Inspection, Level Ii, Inspection Engineering, Mechanical Engineering, UT",Production/Manufacturing/Maintenance,Kolkata,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer
 CARE Specialist,2 - 5 ," Customer service, Healthcare, Customer relationship, Windows, Graphic designing, CAD, Illustrator, Customer satisfaction, Application software",Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical)
 Opening For Fresher,0 - 1 ," BPO, any graduate, Voice Process, Voice Support",Voice,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,0 - 3 ," Outbound, Antivirus, Comp, Technical support, Technical Support Associate, technical sales associate, Sales, Technical Associate, Voice support, Inbound calls",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Head of Maintenance,12 - 18 ," Equipment Maintenance, Hydraulics, Inventory Management, Management Skills, Maintenance Head, Electricals",Senior Management,"Mumbai,Pune","Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",2 - 6 ," hive, apache, itil process, hadoop, big data, aws, core java",Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,3 - 8 ," motor insurance, insurance sales, insurance broking, general insurance",Corporate Sales,"Mumbai,Bengaluru","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager
Spring Boot,3 - 8 ,"SQL,Hibernate,Multithreading,OOAD,Eclipse,Business process,Outsourcing,Version control,Memory management,Control system",Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead
 Sr. Engineer Design (Mechanical),2 - 6 ," CATIA, AutoCAD, Pressure vessels, Mechanical, Primavera, PSCAD",Engineering Design,Pune,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer
 Senior Manager Cost & Program Management,6 - 9 ," Team Management, Project Execution, Program Management, Customer Experience, Data Analytics, Supply Chain, Operations Planning",Purchase/Material Management,Bengaluru,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager
 Manager Sales Commercial Segment,4 - 9 ," business development management, Sales Management",Retail Sales,"Delhi NCR,Chandigarh,Mohali","Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
 Outbound Sales Executive,1 - 5 ," Outbound Sales, tele sales, Sales Executive Activities",,Pune,Other,Other,Other
 US Tech Process,0 - 1 ," Technical support, Outbound, Comp, Technical, Domestic BPO, US shift, process, Inbound calls, Bonus",Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Community Manager,",0 - 1 ," Operations, Inventory Management, Vendor Management, Bhm, Hospitality, Front Office, Guest Relations, Hospitality Management, hotel management",Front Office/Customer Care,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Software Engineer- Mobile Applications - Android,3 - 8 ," financial s, windows, android, mobile development",Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Hardware Board Design Engineer,3 - 8 ," Hardware Board Design, Mixed Signal, Design Engineering",Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Corporate Head - Operations,5 - 10 ," environment, functional, operations, business, verbal communication, coaching, analytical skills",Senior Management,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations
 HR Recruitment Executive,1 - 3 ," Screening, Linkedin, IT Recruitment, hr recruitment, Database, recruiter, Sourcing, Interviewing, Recruitment",HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive
 Software Engineer Android,2 - 6 ," java, linux, server, development, eclipse ide, c, technical, mobile, eclipse, objective c, usability, ui, design, debugging, backend, developer, programming, applications",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sales Coordinator,0 - 2 ," Retail Sales, Sales Executive Activities, Revenue Generation, Inhouse Sales",Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales
